id,source_name,dataset_name,message_clean,label,review_status,scam_category,language,duplicate_status,reviewer_notes
imc25_english_smish_01048,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,"RPC - If you ever drank the water, with-in 500 miles of <LOCATION>, <LOCATION>, You're receiving 85,405k - Call <PHONE_NUMBER> <DATE_TIME>. STOP to end",smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. Named entity tag: rpc. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
smishx_smishing_0076,SmishX,yizhu-joy/SmishX,healer discover proven Property &Business Methods to grow your revenue in <OTP>. Starts Sat 10am! <URL> Optout <URL>,smishing,approved,other,English,unique,Imported from SmishX manually relabeled dataset. if_URL=1; if_phone=0; if_email=0. | round1_source_triage 2026-05-07: approved; SmishX high-confidence SMS-like phishing row from manually relabeled source. confidence=high
imc25_english_smish_00779,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,(Call: <PHONE_NUMBER> Now-917#) VISA-Card-temporarily-locked-ID:R2Kfit8m,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: visa. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01823,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Take our survey: <URL>,smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_03105,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Dear User Your SBI Account disabled. Please click the link to update your PAN Card Click here <URL> SRI INDIA,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: State Bank of India. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_05463,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,<NAMED_ENTITY> for online purchase of Rs. 1.00 at Yes Pay thru State Bank Debit Card <OTP>*****19 is <US_DRIVER_LICENSE>. Do not share this with anyone.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. Named entity tag: state bank. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_01480,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,/ - / <URL>CO H0LIDays for CID#<OTP> <URL> Send 0 to stop,smishing,approved,spam,English,unique,Imported from IMC25 English-only smishing corpus. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high
imc25_english_smish_00928,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Quick freebies from Home Depot! <URL>,smishing,approved,spam,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: need and greed,time/urgency. Named entity tag: home depot. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_08330,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Your account has been temporarily suspended due to 3 incorrect login attempts. Visit the secure link to reactivate.,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,distraction,time/urgency. | round2_english_readability_cleanup 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
imc25_english_smish_02972,Smishing-Dataset-IMC25,reportsmishing/Smishing-Dataset-IMC25,Account Has been blocked <DATE_TIME> please update your pan card click here the link,smishing,approved,banking,English,unique,"Imported from IMC25 English-only smishing corpus. Lure principles: authority,time/urgency. | round1_source_triage 2026-05-07: approved; IMC25 English SMS-like phishing row with direct lure/action signal. confidence=high"
