unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,contains_url,contains_email,contains_phone,contains_otp,contains_amount,contains_account_hint,service_category,institution_type,source_file,reviewer_notes,data_origin,is_synthetic,synthetic_template_id,generation_method,notes,rejection_reason
synthetic_service_ham_000014,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000014,"GCash] #MagingListoHuwagMagpaloko: Your One-Time PIN is 184514. Enter this code to confirm your login to BPI on your browser. If you did not make this login request, change your password or call the hotline immediately.","GCash] #MagingListoHuwagMagpaloko: Your One-Time PIN is <OTP>. Enter this code to confirm your login to BPI on your browser. If you did not make this login request, change your password or call the hotline immediately.",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00084,template_slot_sampling,Generated from service_ham_template_00084; synthetic values only.,smishing_like_threat_or_scam_urgency
synthetic_service_ham_000045,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000045,"Your referrals can earn you rewards! Get P500 eGC for every successful referral when friends apply & get approved for their first BDO credit card using your code ACO135. Promo runs until on 12 May 2026, 0365. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041","Your referrals can earn you rewards! Get <AMOUNT> eGC for every successful referral when friends apply & get approved for their first BDO credit card using your code ACO135. Promo runs until on <DATE_TIME>, 0365. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,otp_verification,Metrobank,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00091,template_slot_sampling,Generated from service_ham_template_00091; synthetic values only.,exact_duplicate
synthetic_service_ham_000069,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000069,"BPI] #MagingListoHuwagMagpaloko: Your One-Time PIN is 3092. Enter this code to confirm your login to BPI on your browser. If you did not make this login request, change your password or call the hotline immediately. Thank you.","BPI] #MagingListoHuwagMagpaloko: Your One-Time PIN is <OTP>. Enter this code to confirm your login to BPI on your browser. If you did not make this login request, change your password or call the hotline immediately. Thank you.",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00084,template_slot_sampling,Generated from service_ham_template_00084; synthetic values only.,smishing_like_threat_or_scam_urgency
synthetic_service_ham_000072,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000072,"Maya] #MagingListoHuwagMagpaloko: Your One-Time PIN is 96631. Enter this code to confirm your login to Your bank on your browser. If you did not make this login request, change your password or call the hotline immediately. This is an automated notice.","Maya] #MagingListoHuwagMagpaloko: Your One-Time PIN is <OTP>. Enter this code to confirm your login to Your bank on your browser. If you did not make this login request, change your password or call the hotline immediately. This is an automated notice.",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00084,template_slot_sampling,Generated from service_ham_template_00084; synthetic values only.,smishing_like_threat_or_scam_urgency
synthetic_service_ham_000081,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000081,"Your referrals can earn you rewards! Get PHP 1,000.00 eGC for every successful referral when friends apply & get approved for their first Your bank credit card using your code ACO135. Promo runs until 27-Aug 18:05, 95788. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041","Your referrals can earn you rewards! Get <AMOUNT> eGC for every successful referral when friends apply & get approved for their first Your bank credit card using your code ACO135. Promo runs until <DATE_TIME>:05, 95788. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,otp_verification,Metrobank,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00091,template_slot_sampling,Generated from service_ham_template_00091; synthetic values only.,exact_duplicate
synthetic_service_ham_000116,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000116,"oat, Apr ti at 11-09 AM Your referrals can earn you rewards! Get P150 eGC for every successful referral when friends apply & get approved for their first GCash credit card using your code ACO135. Promo runs until today, 40748. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041","oat, Apr ti at 11-09 AM Your referrals can earn you rewards! Get <AMOUNT> eGC for every successful referral when friends apply & get approved for their first GCash credit card using your code ACO135. Promo runs until <DATE_TIME>, 40748. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,otp_verification,Metrobank,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00092,template_slot_sampling,Generated from service_ham_template_00092; synthetic values only.,exact_duplicate
synthetic_service_ham_000145,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000145,"GCash] #MagingListoHuwagMagpaloko: Your One-Time PIN is 8366. Enter this code to confirm your login to Metrobank on your browser. If you did not make this login request, change your password or call the hotline immediately. Keep this message for your records.","GCash] #MagingListoHuwagMagpaloko: Your One-Time PIN is <OTP>. Enter this code to confirm your login to Metrobank on your browser. If you did not make this login request, change your password or call the hotline immediately. Keep this message for your records.",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00084,template_slot_sampling,Generated from service_ham_template_00084; synthetic values only.,smishing_like_threat_or_scam_urgency
synthetic_service_ham_000187,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000187,"Metrobank] #MagingListoHuwagMagpaloko: Your One-Time PIN is 278681. Enter this code to confirm your login to Your e-wallet on your browser. If you did not make this login request, change your password or call the hotline immediately. No reply is needed.","Metrobank] #MagingListoHuwagMagpaloko: Your One-Time PIN is <OTP>. Enter this code to confirm your login to Your e-wallet on your browser. If you did not make this login request, change your password or call the hotline immediately. No reply is needed.",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00084,template_slot_sampling,Generated from service_ham_template_00084; synthetic values only.,smishing_like_threat_or_scam_urgency
synthetic_service_ham_000191,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000191,"Your referrals can earn you rewards! Get P50 eGC for every successful referral when friends apply & get approved for their first Maya credit card using your code ACO135. Promo runs until 15-Aug 12:31, 3237. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041","Your referrals can earn you rewards! Get <AMOUNT> eGC for every successful referral when friends apply & get approved for their first Maya credit card using your code ACO135. Promo runs until <DATE_TIME>:31, 3237. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,otp_verification,Metrobank,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00091,template_slot_sampling,Generated from service_ham_template_00091; synthetic values only.,exact_duplicate
synthetic_service_ham_000202,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000202,"Your referrals can earn you rewards! Get P100 eGC for every successful referral when friends apply & get approved for their first Metrobank credit card using your code ACO135. Promo runs until today, 14732. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041","Your referrals can earn you rewards! Get <AMOUNT> eGC for every successful referral when friends apply & get approved for their first Metrobank credit card using your code ACO135. Promo runs until <DATE_TIME>, 14732. Visit our website for the application link & for T&Cs. DT1245534S2025 CCPD26-041",ham,ham,synthetic_ham_candidate,generated_needs_review,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,otp_verification,Metrobank,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00091,template_slot_sampling,Generated from service_ham_template_00091; synthetic values only.,exact_duplicate
