model,split,seed,n_rows,accuracy,precision_smishing,recall_smishing,f1_smishing,macro_f1,weighted_f1,f1_ham,false_negative_rate,false_positive_rate,tn,fp,fn,tp
ablation_d_random_weights,test_clean,42,1582,0.9348925410872313,0.9398976982097187,0.9292035398230089,0.9345200254291164,0.9348904338333515,0.9348904338333512,0.9352608422375864,0.07079646017699115,0.05941845764854614,744,47,56,735
ablation_d_random_weights,test_adv_10,42,1582,0.9184576485461441,0.9378306878306878,0.8963337547408344,0.9166127989657401,0.9184177167370444,0.9184177167370444,0.9202226345083488,0.10366624525916561,0.05941845764854614,744,47,82,709
ablation_d_random_weights,test_adv_20,42,1582,0.9121365360303414,0.9369973190348525,0.8836915297092288,0.9095640858815875,0.9120653865179296,0.9120653865179296,0.9145666871542717,0.11630847029077118,0.05941845764854614,744,47,92,699
ablation_d_random_weights,test_adv_30,42,1582,0.9070796460176991,0.9363143631436315,0.8735777496839444,0.9038587311968607,0.9069752371580634,0.9069752371580633,0.9100917431192661,0.1264222503160556,0.05941845764854614,744,47,100,691
ablation_d_random_weights,test_clean,7,1582,0.9329962073324906,0.93854033290653,0.9266750948166877,0.9325699745547074,0.9329935299909216,0.9329935299909216,0.9334170854271356,0.07332490518331226,0.0606826801517067,743,48,58,733
ablation_d_random_weights,test_adv_10,7,1582,0.915929203539823,0.9363395225464191,0.8925410872313527,0.913915857605178,0.9158831913103098,0.9158831913103098,0.9178505250154416,0.10745891276864729,0.0606826801517067,743,48,85,706
ablation_d_random_weights,test_adv_20,7,1582,0.9089759797724399,0.9353970390309556,0.8786346396965866,0.9061277705345502,0.9088921061261708,0.9088921061261708,0.9116564417177914,0.1213653603034134,0.0606826801517067,743,48,96,695
ablation_d_random_weights,test_adv_30,7,1582,0.8969658659924147,0.9337016574585635,0.854614412136536,0.8924092409240925,0.8967807271933985,0.8967807271933985,0.9011522134627047,0.14538558786346398,0.0606826801517067,743,48,115,676
ablation_d_random_weights,test_clean,123,1582,0.9348925410872313,0.9455958549222798,0.922882427307206,0.9341010876519513,0.9348831484480868,0.934883148448087,0.9356652092442224,0.07711757269279393,0.05309734513274336,749,42,61,730
ablation_d_random_weights,test_adv_10,123,1582,0.9165613147914032,0.9434724091520862,0.8862199747155499,0.9139504563233377,0.9164844306156565,0.9164844306156567,0.9190184049079755,0.11378002528445007,0.05309734513274336,749,42,90,701
ablation_d_random_weights,test_adv_20,123,1582,0.9108723135271808,0.9427792915531336,0.8748419721871049,0.9075409836065573,0.9107564588563598,0.9107564588563599,0.9139719341061623,0.12515802781289506,0.05309734513274336,749,42,99,692
ablation_d_random_weights,test_adv_30,123,1582,0.9007585335018964,0.9415041782729805,0.854614412136536,0.8959575878064944,0.9005467697340629,0.9005467697340628,0.9051359516616314,0.14538558786346398,0.05309734513274336,749,42,115,676
