epoch,train_loss,val_loss,train_recall_smishing,train_f1_smishing,val_recall_smishing,val_f1_smishing
1,0.6283574894837893,0.5447777509689331,0.9273712737127371,0.8265700483091788,0.8925410872313527,0.8242848803269118
2,0.5081965203530743,0.46173781156539917,0.9333333333333333,0.8298795180722891,0.9039190897597977,0.8313953488372093
3,0.44976152171933553,0.4192860722541809,0.9138211382113821,0.827180179075187,0.888748419721871,0.8290094339622641
4,0.41381465534207623,0.3898267149925232,0.9363143631436315,0.8391013964784456,0.9152970922882427,0.8448074679113186
5,0.38763195424868163,0.3689769506454468,0.9035230352303523,0.8371625863151287,0.8811630847029077,0.838748495788207
6,0.3659664209780654,0.34826409816741943,0.9308943089430894,0.8493015205835085,0.9190897597977244,0.8568061284619918
7,0.3474026222862202,0.3331393003463745,0.9192411924119241,0.863653723742839,0.900126422250316,0.8619854721549637
8,0.3315171190232119,0.32090458273887634,0.908130081300813,0.8750489620054838,0.8900126422250316,0.8761667703795893
9,0.31810042063395183,0.3075561821460724,0.9249322493224932,0.8829388177467339,0.9051833122629582,0.8834053053670574
10,0.30644456133609865,0.2976030111312866,0.9192411924119241,0.886565603763722,0.9051833122629582,0.8894409937888199
11,0.2955270037903049,0.2877287268638611,0.9281842818428184,0.8896103896103896,0.9102402022756005,0.8905380333951762
12,0.2869332319514215,0.2801694869995117,0.918970189701897,0.8937796520822351,0.9026548672566371,0.8947368421052632
13,0.27818792707874845,0.27371492981910706,0.9113821138211382,0.8963219616204691,0.8950695322376738,0.8956356736242884
14,0.2705822796679448,0.26553890109062195,0.9392953929539295,0.8983929497148782,0.9241466498103666,0.9013563501849569
15,0.26353996173153077,0.25915852189064026,0.9265582655826559,0.9029446718605573,0.9102402022756005,0.9028213166144201
16,0.25667313670885916,0.254484623670578,0.9168021680216802,0.9049083857161964,0.8988621997471555,0.9005699810006333
17,0.2507353721756922,0.24809186160564423,0.9273712737127371,0.9080536022290036,0.9077117572692794,0.9037130270610447
18,0.24550624221644105,0.24463050067424774,0.9159891598915989,0.9116655428186109,0.8963337547408344,0.9066496163682864
19,0.24023106222553306,0.23945415019989014,0.9195121951219513,0.9138163210342042,0.9026548672566371,0.9095541401273886
20,0.23522989263702537,0.23442642390727997,0.92710027100271,0.9155626923591597,0.9140328697850821,0.9151898734177215
21,0.2311168791963479,0.2309132069349289,0.9230352303523035,0.9191742005127513,0.9089759797724399,0.9141767323585506
22,0.22635240550771316,0.2261577844619751,0.9360433604336044,0.9180066445182724,0.9241466498103666,0.919496855345912
23,0.22289863644738184,0.22447878122329712,0.9178861788617886,0.9207557428299579,0.9051833122629582,0.9197174052665382
24,0.2188350745575215,0.21927280724048615,0.9308943089430894,0.9232630022846392,0.9203539823008849,0.922102596580114
25,0.2149990001748894,0.21590040624141693,0.9390243902439024,0.9220329962746141,0.9266750948166877,0.9208542713567839
