unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,contains_url,contains_email,contains_phone,contains_otp,contains_amount,contains_account_hint,service_category,institution_type,source_file,reviewer_notes,data_origin,is_synthetic,synthetic_template_id,generation_method,notes
synthetic_service_ham_000002,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000002,Your Discord security code is: 9600 tzD9jJY28Wrn,Your Discord security code is: <OTP> tzD9jJY28Wrn,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00101,template_slot_sampling,Generated from service_ham_template_00101; synthetic values only.
synthetic_service_ham_000005,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000005,G-654235 is your Google verification code. Don't share your code with anyone.,G-<OTP> is your Google verification code. Don't share your code with anyone.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Google,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00089,template_slot_sampling,Generated from service_ham_template_00089; synthetic values only.
synthetic_service_ham_000008,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000008,Your Now Serving OTP Code is 93103,Your Now Serving OTP Code is <OTP>,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00103,template_slot_sampling,Generated from service_ham_template_00103; synthetic values only.
synthetic_service_ham_000012,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000012,Your Indeed verification code is: 537672,Your Indeed verification code is: <OTP>,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00102,template_slot_sampling,Generated from service_ham_template_00102; synthetic values only.
synthetic_service_ham_000015,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000015,Your Authy verification code is: 4828,Your Authy verification code is: <OTP>,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00098,template_slot_sampling,Generated from service_ham_template_00098; synthetic values only.
synthetic_service_ham_000019,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000019,Ready to earn? Get P5k SM Gift Pass when friends apply for a credit card using your code ACO135 until 03/31/8346. T&Cs apply DTI245534S2025 CCPD26-041,Ready to earn? Get P5k SM Gift Pass when friends apply for a credit card using your code ACO135 until 03/31/8346. T&Cs apply DTI245534S2025 CCPD26-041,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,False,True,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00097,template_slot_sampling,Generated from service_ham_template_00097; synthetic values only.
synthetic_service_ham_000022,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000022,Your Claude verification code is: 8299,Your Claude verification code is: <OTP>,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00099,template_slot_sampling,Generated from service_ham_template_00099; synthetic values only.
synthetic_service_ham_000038,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000038,Your Claude verification code is: 8412 Your Claude verification code is: 11824 Your Claude verification code is: 93534 Your Claude verification code is: 740164 a Unread KK,Your Claude verification code is: <OTP> Your Claude verification code is: <OTP> Your Claude verification code is: <OTP> Your Claude verification code is: <OTP> a Unread KK,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00100,template_slot_sampling,Generated from service_ham_template_00100; synthetic values only.
synthetic_service_ham_000308,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000308,"Your MCC card XXXXXXXX9726 was used at CHECKOUT CARDS for P100. If you did not make this, call XXXXXXXX8510 to avoid further unauthorized transactions.","Your MCC card <REF_NUM> was used at CHECKOUT CARDS for <AMOUNT>. If you did not make this, call <REF_NUM> to avoid further unauthorized transactions.",ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,banking,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00062,template_slot_sampling,Generated from service_ham_template_00062; synthetic values only.
synthetic_service_ham_000313,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000313,Credit Card! Promo runs until,Credit Card! Promo runs until,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,False,True,banking,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00028,template_slot_sampling,Generated from service_ham_template_00028; synthetic values only.
synthetic_service_ham_000317,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000317,Travel and spend without worries with your RCBC Premium Credit Card. Convert your spend abroad into Unli 0% for 3 mos. or up to 36 mos. Uni Installment via the RCBC Pulz App. Visit rcbccredit > Credit Cards > Benefits > Installment. T&Cs apply.,Travel and spend without worries with your RCBC Premium Credit Card. Convert your spend abroad into Unli 0% for 3 mos. or up to 36 mos. Uni Installment via the RCBC Pulz App. Visit rcbccredit > Credit Cards > Benefits > Installment. T&Cs apply.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,False,True,banking,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00051,template_slot_sampling,Generated from service_ham_template_00051; synthetic values only.
synthetic_service_ham_000321,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000321,"Upgrade to the Samsung Galaxy S26 Series with your RCBC Credit Card! Pre-order for as low as PHP 2,450.75/mo. for 24mos at 0% inst + FREEBIES. Also, bundle with Galaxy Buds4 & get 10% OFF the Buds. Offers, validity dates and partners vary. T&Cs apply. Details at RCBC Credit website; search: SAMS26P. D250155&251419S26","Upgrade to the Samsung Galaxy S26 Series with your RCBC Credit Card! Pre-order for as low as <AMOUNT>/mo. for 24mos at 0% inst + FREEBIES. Also, bundle with Galaxy Buds4 & get 10% OFF the Buds. Offers, validity dates and partners vary. T&Cs apply. Details at RCBC Credit website; search: SAMS26P. D250155&251419S26",ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,banking,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00054,template_slot_sampling,Generated from service_ham_template_00054; synthetic values only.
synthetic_service_ham_000322,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000322,the RCBC Credit website.,the RCBC Credit website.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,False,False,banking,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00069,template_slot_sampling,Generated from service_ham_template_00069; synthetic values only.
synthetic_service_ham_000325,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000325,"The new galaxy is here! Get the Samsung Galaxy S26 Series for as low as P150/mo. at 0% inst for 24mos w/ your RCBC Credit Card! Plus, bundle the Galaxy Buds4 to get 10% OFF your Buds. Offers, validity dates and partners vary. Visit the RCBC Credit website & search SAMS26L for details. T&Cs apply. D250155&251419S26","The new galaxy is here! Get the Samsung Galaxy S26 Series for as low as <AMOUNT>/mo. at 0% inst for 24mos w/ your RCBC Credit Card! Plus, bundle the Galaxy Buds4 to get 10% OFF your Buds. Offers, validity dates and partners vary. Visit the RCBC Credit website & search SAMS26L for details. T&Cs apply. D250155&251419S26",ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,False,True,True,banking,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00048,template_slot_sampling,Generated from service_ham_template_00048; synthetic values only.
