manual_id,message_raw,message_clean,raw_text_available,text_privacy_status,provisional_label,final_label,service_category,institution_type,review_status,reviewer_notes,source_file,contains_url,contains_phone,contains_otp,contains_amount,contains_account_hint,merge_status,merged_from_manual_ids,merged_row_count,original_split_messages
manual_ham_000001,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on tbplus88.com,TablePlus: You still have an active balance. Reactivate with just 10P to claim your 18P starter gift. See your 3 percent daily back. Only on <URL>,True,raw_ocr_extracted_text,unsure,ham,unsure,TablePlus,approved,source_hint=TablePlus; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,False,False,not_merged,manual_ham_000001,1,
manual_ham_000002,"Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! ikrfhf.de","Get app now and grab a P37 GIFT! Plus a P15 sign-up incentive and 17 daily PRIZES. Total rewards can reach up to a MIND-BLOWING P1,777! <URL>",True,raw_ocr_extracted_text,unsure,ham,unsure,Grab,approved,source_hint=Grab; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,True,False,not_merged,manual_ham_000002,1,
manual_ham_000003,"Free P200 and 120 Free Spins Today! Join our https://bit.ly/ 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.","Free P200 and 120 Free Spins Today! Join our <URL> 4OOHLPi Month event Now to win Car, Smartphone, or Al Glasses. Login now.",True,raw_ocr_extracted_text,unsure,ham,account_security,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,True,False,not_merged,manual_ham_000003,1,
manual_ham_000004,"Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at BangoWin.com","Bright days ahead—P8 Free Try, 100% Welcome Bonus & P8,888 USE 716120 at <URL>",True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,True,False,not_merged,manual_ham_000004,1,
manual_ham_000005,"FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : free.lucky.ph/funny","FREE P20 is waiting for you! New platform, triple the fun. Get your 300% Welcome Bonus Now! Up to P21,000 for grabs! Pagcor Accredited : <URL>",True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,True,False,False,True,False,not_merged,manual_ham_000005,1,
manual_ham_000006,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,Welcome to Globe! Make sure your eSIM is registered and compliant with the law to enjoy our services:,True,raw_ocr_extracted_text,unsure,ham,telecom,Globe,approved,source_hint=Globe; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000006,1,
manual_ham_000007,- Turn ON mobile data.,- Turn ON mobile data.,True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000007,1,
manual_ham_000008,- Open GlobeOne and tap Register your SIM.,- Open GlobeOne and tap Register your SIM.,True,raw_ocr_extracted_text,unsure,ham,telecom,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000008,1,
manual_ham_000009,- Fill out the form with accurate details.,- Fill out the form with accurate details.,True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000009,1,
manual_ham_000010,- Upload a clear photo of a valid government ID.,- Upload a clear photo of a valid government ID.,True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000010,1,
manual_ham_000011,"- Take a selfie (portrait mode, no accessories, plain background, well-lit).","- Take a selfie (portrait mode, no accessories, plain background, well-lit).",True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000011,1,
manual_ham_000012,- Complete your registration— you're all set!,- Complete your registration— you're all set!,True,raw_ocr_extracted_text,unsure,ham,unsure,Unknown,approved,source_hint=Unknown; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000012,1,
manual_ham_000013,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,You can also register at the official Globe SIM Registration website. REF#:FGWSNC1,True,raw_ocr_extracted_text,unsure,ham,telecom,Globe,approved,source_hint=Globe; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,True,not_merged,manual_ham_000013,1,
manual_ham_000014,"Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.","Thank you for registering your SIM! You can now enjoy your FREE UNLI 5G 50. Enjoy UNLIMITED 5G data and 2GB for all sites. To check the status of your freebie, just text DATA BAL to 8080. Please be reminded that submission of false information is punishable by law. For more information, visit the SIM Registration FAQs on Globe's official website.",True,raw_ocr_extracted_text,unsure,ham,telecom,Globe,approved,source_hint=Globe; archive_notes=OCR extracted from screenshot; review rows where screenshot text was partially cropped or low contrast.,drive_export/THESIS/CLEANED/cleaned_dataset.csv,False,False,False,False,False,not_merged,manual_ham_000014,1,
