review_id,message_for_review,message_raw,message_clean,source_label,normalized_label_before_review,candidate_reason,source_name,dataset_name,source_group,contains_url,contains_phone,contains_otp,contains_amount,suggested_category,expert_label,expert_confidence,expert_notes,reviewer_name,review_date,raw_quality_status,raw_quality_flags,raw_placeholder_detected,raw_placeholder_types,raw_length,raw_token_count,multi_message_cell_detected,duplicate_key,duplicate_status,suggested_action,replacement_needed_reason
EXP-SPAM-0001,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,telecom promo,,,,,,pass_raw_complete,,False,,153,33,False,get ur 1st ringtone free now reply to this msg with tone gr8 top 20 tones to your phone every week just < > per wk 2 opt out send stop < >,unique,keep,
EXP-SPAM-0002,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,adult/chat promo,,,,,,pass_raw_complete,,False,,159,29,False,summers finally here fancy a chat or flirt with sexy singles in yr area to get matched up just reply summer now free 2 join optout txt stop help < >,unique,keep,
EXP-SPAM-0003,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468","SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,generic scam-like or unclear,,,,,,pass_raw_complete,,False,,93,18,False,sms ac < > posts hello you seem cool wanted to say hi hi stop send stop to 62468,unique,keep,
EXP-SPAM-0004,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply","Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,False,False,True,telecom promo,,,,,,pass_raw_complete,,False,,155,31,False,get 3 lions england tone reply lionm 4 mono or lionp < > oly 4 more go 2 < > the original n best tones < > network operator rates apply,unique,keep,
EXP-SPAM-0005,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.","For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.","For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,True,True,False,True,telecom promo,,,,,,pass_raw_complete,,False,,121,25,False,for ur chance to win < > cash every wk txt play to 83370 t s c s < > custcare < > 1x < > wk,unique,keep,
EXP-SPAM-0006,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel","Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel","Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,True,adult/chat promo,,,,,,pass_raw_complete,,False,,152,30,False,rock yr chik get 100 s of filthy films xxx pics on yr phone now rply filth to 69669 saristar ltd e14 9yt < > p per 5 days stop2 cancel,unique,keep,
EXP-SPAM-0007,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )","I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )","I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,True,telecom promo,,,,,,pass_raw_complete,,False,,162,36,False,i want some cock my hubby s away i need a real man 2 satisfy me txt wife to 89938 for no strings action txt stop 2 end txt rec < > ea otbox 731 la1 7ws,unique,keep,
EXP-SPAM-0008,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,True,False,False,generic scam-like or unclear,,,,,,pass_raw_complete,,False,,128,24,False,call germany for only < > ence per minute call from a fixed line via access number < > no prepayment direct access,unique,keep,
EXP-SPAM-0009,"Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free","Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free","Over 3,0,000 songs on the www, music. nokia.com. Download 5 free tracks from the Nokia Music Store. Download now at http://music.nokia.co.in/myn5free",spam,spam,needs_smishing_relabel,Mishra & Soni,SMS Phishing Dataset for Machine Learning and Pattern Recognition,public_baseline,True,False,False,False,promotional spam,,,,,,pass_raw_complete,,False,,149,29,False,over 3 0 000 songs on the www music < > download 5 free tracks from the nokia music store download now at < >,unique,keep,
EXP-SPAM-0010,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468","TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468","TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",spam,spam,needs_smishing_relabel,UCI SMS Spam Collection,SMS Spam Collection v.1,public_baseline,False,False,False,False,telecom promo,,,,,,pass_raw_complete,,False,,138,24,False,themob> check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468,unique,keep,
