unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,replacement_status,replacement_candidate_id,original_replaced_unified_id,contains_url,contains_email,contains_phone,notes,raw_placeholder_detected,raw_placeholder_count,raw_placeholder_types,raw_quality_status,raw_quality_notes,raw_length,token_count,long_message_flag,sms_likeness_status,repair_status,final_strict_raw_eligible,exclusion_reason,campaign_template_key,campaign_cluster_id,campaign_cluster_size,campaign_duplicate_status,is_campaign_representative,campaign_representative_reason
replacement_ncsu_sms_phishing_026648,SMS Phishing Dataset,wspr-ncsu/sms-phishing,raw_recovery_91k_pool,ncsu_sms_phishing_026648,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ (/,&!","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ (/,&!",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Redacted-only gathered row replaced by raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026648,gathered_imc25_english_smish_10567,true,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate ncsu_sms_phishing_026648; source_url=https://github.com/wspr-ncsu/sms-phishing; scam_category=other,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,kept_strict_raw,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026656,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026656,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ )【*(^","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ )【*(^",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026656,replacement_imc25_english_smish_17549,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_17549; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026657,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026657,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ ,*#*#","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ ,*#*#",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026657,replacement_imc25_english_smish_17655,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_17655; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026658,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026658,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ *:(:#","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ *:(:#",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026658,replacement_imc25_english_smish_17712,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_17712; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026660,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026660,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ /.(/-","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ /.(/-",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026660,replacement_imc25_english_smish_17828,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_17828; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026662,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026662,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ !】#&】","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ !】#&】",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,kept_original_raw_available,ncsu_sms_phishing_026662,gathered_imc25_english_smish_12853,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row.,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026663,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026663,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ @)】-*","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ @)】-*",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026663,replacement_imc25_english_smish_18096,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_18096; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026667,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026667,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ ^#*[^","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ ^#*[^",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026667,replacement_imc25_english_smish_18152,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_18152; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026670,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026670,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ 】]^[!","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ 】]^[!",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026670,replacement_imc25_english_smish_18202,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_18202; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
strict_replacement_ncsu_sms_phishing_026679,SMS Phishing Dataset,wspr-ncsu/sms-phishing,strict_raw_replacement_91k_pool,ncsu_sms_phishing_026679,"New TRXM L0gin || www.usdtrxm.com || You Login code: trxn Total: 3,853,40.73ÙŠÐТ {]{}=","New TRXM L0gin || <URL> || You Login code: trxn Total: 3,853,40.73ÙŠÐТ {]{}=",phishing_messages_row,smishing,accepted,candidate,True,original_unredacted,cleaned_from_raw,replaced_from_91k_pool,Placeholder/anonymized raw row replaced by strict raw-available smishing candidate from 91k pool.,replaced_with_raw_available_candidate,ncsu_sms_phishing_026679,replacement_imc25_english_smish_18340,false,false,false,original_source=Smishing-Dataset-IMC25; scam_category=banking; strict-clean approved gathered smishing row. | raw_recovery: source candidate imc25_english_smish_18340; source_url=https://github.com/reportsmishing/Smishing-Dataset-IMC25; scam_category=others,False,0,,pass_raw,Strict raw accepted after repair validation; original audit status=pass_raw; sms_likeness_status=likely_sms.,86,15,False,likely_sms,replaced_with_strict_raw_candidate,True,,new trxm l0gin < > you login code < > total < > 73,camp_000001,140,campaign_repeat_excluded,False,excluded by max 3 per template cap
