artifact_path,augmentation_id,original_final_row_id,normalized_label,perturbation_level,perturbation_techniques,variant_index,seed,quality_status,augmentation_purpose
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_008706_v1,v3_public_manual_research_synthetic_row_008706,smishing,20,spacing_punctuation_case_noise;homoglyph_substitution,1,2158683268,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_008706_v2,v3_public_manual_research_synthetic_row_008706,smishing,20,spacing_punctuation_case_noise;homoglyph_substitution,2,413182219,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_010325_v1,v3_public_manual_research_synthetic_row_010325,smishing,20,homoglyph_substitution;url_variation;leetspeak_obfuscation,1,720761974,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_010325_v2,v3_public_manual_research_synthetic_row_010325,smishing,20,numeric_otp_variation;spacing_punctuation_case_noise;url_variation,2,1234833579,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005634_v1,v3_public_manual_research_synthetic_row_005634,smishing,20,homoglyph_substitution;url_variation;spacing_punctuation_case_noise,1,1580042812,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005634_v2,v3_public_manual_research_synthetic_row_005634,smishing,20,homoglyph_substitution;url_variation;separator_injection,2,2381593379,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_007228_v1,v3_public_manual_research_synthetic_row_007228,smishing,20,spacing_punctuation_case_noise;leetspeak_obfuscation;homoglyph_substitution,1,3380292996,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_007228_v2,v3_public_manual_research_synthetic_row_007228,smishing,20,spacing_punctuation_case_noise;homoglyph_substitution;separator_injection,2,4050258453,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_009567_v1,v3_public_manual_research_synthetic_row_009567,smishing,20,spacing_punctuation_case_noise;homoglyph_substitution;separator_injection,1,596984645,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_009567_v2,v3_public_manual_research_synthetic_row_009567,smishing,20,leetspeak_obfuscation;spacing_punctuation_case_noise;homoglyph_substitution,2,1290784562,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_009567_v3,v3_public_manual_research_synthetic_row_009567,smishing,20,leetspeak_obfuscation;spacing_punctuation_case_noise;homoglyph_substitution,3,881623697,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_008190_v1,v3_public_manual_research_synthetic_row_008190,smishing,20,homoglyph_substitution;url_variation;institution_substitution,1,2369615918,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005285_v1,v3_public_manual_research_synthetic_row_005285,smishing,20,homoglyph_substitution;url_variation;institution_substitution,1,1752527299,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_009999_v1,v3_public_manual_research_synthetic_row_009999,smishing,20,spacing_punctuation_case_noise;url_variation;separator_injection,1,3874293335,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005506_v1,v3_public_manual_research_synthetic_row_005506,smishing,20,homoglyph_substitution;url_variation;separator_injection,1,2440372286,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005282_v1,v3_public_manual_research_synthetic_row_005282,smishing,20,homoglyph_substitution;leetspeak_obfuscation;numeric_otp_variation,1,1020594919,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005282_v2,v3_public_manual_research_synthetic_row_005282,smishing,20,spacing_punctuation_case_noise;homoglyph_substitution;leetspeak_obfuscation,2,2376274915,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_008889_v1,v3_public_manual_research_synthetic_row_008889,smishing,20,numeric_otp_variation;homoglyph_substitution;url_variation,1,1433117668,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_005781_v1,v3_public_manual_research_synthetic_row_005781,smishing,20,numeric_otp_variation;spacing_punctuation_case_noise;homoglyph_substitution,1,2342270858,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_006115_v1,v3_public_manual_research_synthetic_row_006115,smishing,20,numeric_otp_variation;homoglyph_substitution;spacing_punctuation_case_noise,1,1584206660,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_006878_v1,v3_public_manual_research_synthetic_row_006878,smishing,20,homoglyph_substitution;spacing_punctuation_case_noise;url_variation,1,3854669657,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_010501_v1,v3_public_manual_research_synthetic_row_010501,smishing,20,spacing_punctuation_case_noise;url_variation;leetspeak_obfuscation,1,230294393,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_009112_v1,v3_public_manual_research_synthetic_row_009112,smishing,20,spacing_punctuation_case_noise;homoglyph_substitution;url_variation,1,2050998914,pass,ablation_b_training
data/06_model_ready/augmented_training/train_augmented_for_ablation_b.csv,aug_train_v3_public_manual_research_synthetic_row_009112_v2,v3_public_manual_research_synthetic_row_009112,smishing,20,url_variation;leetspeak_obfuscation;homoglyph_substitution,2,647690832,pass,ablation_b_training
