unified_id,source_name,dataset_name,source_group,source_row_id,message_raw,message_clean,source_label,normalized_label,label_status,review_status,raw_text_available,raw_text_status,cleaning_status,raw_lookup_status,raw_lookup_notes,contains_url,contains_email,contains_phone,contains_otp,contains_amount,contains_account_hint,service_category,institution_type,source_file,reviewer_notes,data_origin,is_synthetic,synthetic_template_id,generation_method,notes
synthetic_service_ham_000001,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000001,Your bank] DO NOT SHARE: Use your SECRET one-time PIN password 4332 to reset your password in BDO online.,Your bank] DO NOT SHARE: Use your SECRET one-time PIN password <OTP> to reset your password in BDO online.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00087,template_slot_sampling,Generated from service_ham_template_00087; synthetic values only.
synthetic_service_ham_000002,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000002,Your Discord security code is: 9600 tzD9jJY28Wrn,Your Discord security code is: <OTP> tzD9jJY28Wrn,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00101,template_slot_sampling,Generated from service_ham_template_00101; synthetic values only.
synthetic_service_ham_000003,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000003,Maya] DO NOT SHARE: Use your SECRET one-time PIN 3890 to activate BPI Mobile Key on your SM-S938B.,Maya] DO NOT SHARE: Use your SECRET one-time PIN <OTP> to activate BPI Mobile Key on your SM-S938B.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00086,template_slot_sampling,Generated from service_ham_template_00086; synthetic values only.
synthetic_service_ham_000004,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000004,Your Discord security code is: 37940 tzD9jJY28Wrn. Thank you.,Your Discord security code is: <OTP> tzD9jJY28Wrn. Thank you.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00101,template_slot_sampling,Generated from service_ham_template_00101; synthetic values only.
synthetic_service_ham_000005,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000005,G-654235 is your Google verification code. Don't share your code with anyone.,G-<OTP> is your Google verification code. Don't share your code with anyone.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Google,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00089,template_slot_sampling,Generated from service_ham_template_00089; synthetic values only.
synthetic_service_ham_000006,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000006,Maya] DO NOT SHARE: Use your SECRET one-time PIN password 6155 to reset your password in Metrobank online. Thank you.,Maya] DO NOT SHARE: Use your SECRET one-time PIN password <OTP> to reset your password in Metrobank online. Thank you.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00087,template_slot_sampling,Generated from service_ham_template_00087; synthetic values only.
synthetic_service_ham_000007,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000007,Metrobank] DO NOT SHARE: Use your SECRET one-time PIN 781618 to activate Your e-wallet Mobile Key on your SM-S918B.,Metrobank] DO NOT SHARE: Use your SECRET one-time PIN <OTP> to activate Your e-wallet Mobile Key on your SM-S918B.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,BPI,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00085,template_slot_sampling,Generated from service_ham_template_00085; synthetic values only.
synthetic_service_ham_000008,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000008,Your Now Serving OTP Code is 93103,Your Now Serving OTP Code is <OTP>,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Unknown,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00103,template_slot_sampling,Generated from service_ham_template_00103; synthetic values only.
synthetic_service_ham_000009,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000009,Use verification code 3164 for GCash authentication.,Use verification code <OTP> for GCash authentication.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Microsoft,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00093,template_slot_sampling,Generated from service_ham_template_00093; synthetic values only.
synthetic_service_ham_000010,service_ham_template_generator,synthetic_service_ham_from_manual_templates,synthetic_ham_template,synthetic_row_000010,Use verification code 5534 for Your e-wallet authentication. Use verification code 192832 for Your e-wallet authentication. Use verification code 64835 for Your e-wallet authentication.,Use verification code <OTP> for Your e-wallet authentication. Use verification code <OTP> for Your e-wallet authentication. Use verification code <OTP> for Your e-wallet authentication.,ham,ham,synthetic_ham_approved,approved_synthetic,True,synthetic_generated_raw,cleaned_from_synthetic_raw,not_applicable_synthetic,synthetic row generated from approved manual ham template,False,False,False,True,False,False,otp_verification,Microsoft,C:\Users\Lenovo\OneDrive\Documents\Coding\Some other\Thesis Data Source research\smishing-source-hunt\data\final_dataset_build\interim\service_ham_template_patterns.csv,,synthetic_template,True,service_ham_template_00095,template_slot_sampling,Generated from service_ham_template_00095; synthetic values only.
